"91";"Algemene Zaken";"kern";"Senior Adviseur Bedrijfsvoering schaal13";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;NA;NA;1;1;1
"92";"Algemene Zaken";"kern";"Senior Medew. Behandelen en Ontwikk. S11";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,889;0,889
"93";"Algemene Zaken";"kern";"Strategisch Adviseur schaal 15";1,111;1,111;1,111;1,111;1,111;1,111;1,111;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"94";"Algemene Zaken";"kern";"Strategisch Adviseur schaal 16";7;6;6,944;6,944;6,944;5,944;7,055;7,055;7,055;7,055;7,055;7,055;7,055;7,055;8,111;8,111;7,167;8,278;8,278;8,056;7,112;8,112;8,112;8,112;8,112
"95";"Algemene Zaken";"kern";"Topmanager S16";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2
"96";"Algemene Zaken";"kern";"Topmanager S17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
"97";"Algemene Zaken";"kern";"Topmanager S18";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2,056
"98";"Algemene Zaken";"kern";"Topmanager schaal 15";2;2;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"99";"Algemene Zaken";"kern";"Topmanager schaal 16";1,056;1,056;1,056;1,056;1,056;1,056;1,056;1,056;1,056;1,056;1,056;1,056;2,056;2,056;2,056;2,056;2,056;2,056;1;2;2;2;2;NA;NA
"100";"Algemene Zaken";"kern";"Topmanager schaal 17";1,056;1,056;1,056;1,056;NA;NA;NA;NA;NA;1;1;1;1;1;1;1;1;1,111;1,111;1;1;1;1;NA;NA
"101";"Algemene Zaken";"kern";"Topmanager schaal 18";2;2;2;1;2,056;2,056;2,056;2,056;1;1;1;1;1;1;1;1;1,111;1,111;1,111;1;1;1;1;NA;NA
"102";"Binnenlandse Zaken en Koninkrijksrelaties";"AIVD";"(Senior) Beleidsmedewerker schaal 12";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
